w A lgA phase
0.01 25.006 27.961 -89.284
0.011682 21.406 26.611 -89.164
0.013648 18.325 25.261 -89.023
0.015944 15.688 23.912 -88.859
0.018627 13.432 22.563 -88.667
0.021761 11.501 21.214 -88.443
0.025422 9.8481 19.867 -88.182
0.029699 8.4342 18.521 -87.877
0.034696 7.2247 17.176 -87.522
0.040533 6.1902 15.834 -87.108
0.047353 5.3057 14.495 -86.626
0.05532 4.5498 13.16 -86.066
0.064628 3.9041 11.83 -85.416
0.075501 3.3529 10.508 -84.663
0.088204 2.883 9.1969 -83.795
0.1 2.5551 8.1481 -83.001
0.10304 2.4829 7.8991 -82.798
0.12038 2.1428 6.6198 -81.659
0.14063 1.8546 5.3649 -80.371
0.1643 1.6111 4.1423 -78.93
0.19194 1.4063 2.9616 -77.343
0.22423 1.2352 1.8345 -75.633
0.26196 1.0933 0.77464 -73.849
0.30603 0.97691 -0.20291 -72.07
0.35752 0.88282 -1.0826 -70.418
0.41767 0.80818 -1.8499 -69.068
0.48794 0.75046 -2.4935 -68.258
0.52552 0.72819 -2.7551 -68.148
0.57004 0.70729 -3.0081 -68.298
0.66595 0.67613 -3.3994 -69.591
0.77799 0.65366 -3.693 -72.648
0.90889 0.63439 -3.9529 -78.085
1 0.62017 -4.1497 -82.875
1.0618 0.60864 -4.3128 -86.499
1.2405 0.56243 -4.9986 -98.03
1.4492 0.48614 -6.2648 -111.67
1.693 0.38862 -8.2096 -125.29
1.9778 0.29226 -10.685 -136.98
2.3106 0.21261 -13.448 -146.14
2.6993 0.15273 -16.321 -153.04
3.1535 0.10951 -19.211 -158.24
3.684 0.078695 -22.081 -162.2
4.3039 0.05675 -24.921 -165.29
5.028 0.041065 -27.731 -167.73
5.8739 0.029802 -30.515 -169.7
6.8622 0.021679 -33.279 -171.31
8.0167 0.015799 -36.027 -172.64
9.3655 0.01153 -38.764 -173.75
10 0.010099 -39.914 -174.16
10.941 0.0084228 -41.491 -174.68
12.782 0.0061579 -44.211 -175.46
14.933 0.0045047 -46.927 -176.13
17.445 0.0032967 -49.638 -176.69
20.38 0.0024134 -52.347 -177.18
23.809 0.0017672 -55.054 -177.59
27.815 0.0012942 -57.76 -177.93
32.495 0.00094796 -60.464 -178.23
37.962 0.0006944 -63.168 -178.49
44.349 0.0005087 -65.871 -178.71
51.81 0.00037268 -68.573 -178.89
60.527 0.00027303 -71.276 -179.05
70.711 0.00020004 -73.978 -179.19
100 0.00010001 -79.999 -179.43
